"attr","byline","corporate","individual","quote","updated"
"From [_Evening Litany for Lent_](https:/\/godspacelight.com\/2015\/02\/12\/evening-litany-for-lent\/)","Christine Sine","","","Lord we have denied you,
Each time we refused to see you in the faces of the hungry and the homeless.
May the old in us pass away and all things become new.
Lord we have betrayed you,
Each time we have kept our distance from the anguish of the oppressed and the persecuted.
May the old in us pass away and all things become new.
Lord we have mocked you,
Each time we have pretended we do not know how radically you call us to live.
May the old in us pass away and all things become new.
Lord we are lost and have strayed,
Reconcile us to your image and make us new.
May the old in us pass away and all things become new.",""
"","The Nicene Creed, 381","","","We believe in one God,
the Father almighty,
maker of heaven and earth,
of all things visible and invisible.
And in one Lord Jesus Christ,
the only Son of God,
begotten from the Father before all ages,
God from God,
Light from Light,
true God from true God,
begotten, not made;
of the same essence as the Father.
Through him all things were made.
For us and for our salvation
he came down from heaven;
he became incarnate by the Holy Spirit and the virgin Mary,
and was made human.
He was crucified for us under Pontius Pilate;
he suffered and was buried.
The third day he rose again, according to the Scriptures.
He ascended to heaven
and is seated at the right hand of the Father.
He will come again with glory
to judge the living and the dead.
His kingdom will never end.
And we believe in the Holy Spirit,
the Lord, the giver of life.
He proceeds from the Father and the Son,
and with the Father and the Son is worshiped and glorified.
He spoke through the prophets.
We believe in one holy catholic and apostolic church.
We affirm one baptism for the forgiveness of sins.
We look forward to the resurrection of the dead,
and to life in the world to come. Amen.",""
"Scripture quotations marked (NIV) are taken from the Holy Bible, New International Version®, NIV®. Copyright © 1973, 1978, 1984, 2011 by Biblica, Inc.™ Used by permission of Zondervan. All rights reserved worldwide. www.zondervan.com 
The “NIV” and “New International Version” are trademarks registered in the United States Patent and Trademark Office by Biblica, Inc.™","Psalm 11:7 (NIV)","","","For the Lord is righteous,
he loves justice;
the upright will see his face.",""
"","Søren Kierkegaard, 1813–1855","","","O Lord,
calm the waves of this heart, calm its tempests!
Calm yourself, O my soul,
so that the divine can act in you!
Calm yourself, O my soul,
so that God is able to repose in you,
so that his peace may cover you!
Yes, Father in heaven,
often have I found that the world cannot give me peace,
but make me feel that you are able to give me peace;
let me know the truth of your promise:
that the world may not be able to take away your peace.
Amen.",""
"Scripture quotations marked (NIrV) are taken from the Holy Bible, New International Reader’s Version®, NIrV® Copyright © 1995, 1996, 1998, 2014 by Biblica, Inc.™ Used by permission of Zondervan. All rights reserved worldwide. www.zondervan.com 
The “NIrV” and “New International Reader’s Version” are trademarks registered in the United States Patent and Trademark Office by Biblica, Inc.™","Jude 1:24-25 (NIrV)","","","Give praise to the God who is able to keep you from falling into sin. He will bring you into his heavenly glory without any fault. He will bring you there with great joy. Give praise to the only God our Savior. Glory, majesty, power and authority belong to him. Give praise to him through Jesus Christ our Lord. His praise was before all time, continues now, and will last forever. Amen.",""
"","Thomas Ã  Kempis, 1380–1471","","","My God and my All!
What greater blessing can I receive than your love? What greater wealth can I possess than your grace? What greater pleasure can I enjoy than your presence? What greater sweetness can I taste than your body and blood? What greater wisdom can I know than your gospel?
Your wisdom is so simple that even fools like myself can understand it. Your holy communion is so generously given that even sinners like me are allowed to receive it. Your presence is everywhere so that even someone with such a dull mind as I have can find you. Your grace is such a constant source of reassurance that I can trust you completely for all my spiritual and material needs. And your love is so warm and so forgiving that even a cold, hard heart like my own is melted.
Amen.",""
"Scripture quotations marked (NLT) are taken from the Holy Bible, New Living Translation, copyright Â©1996, 2004, 2015 by Tyndale House Foundation. Used by permission of Tyndale House Publishers, Carol Stream, Illinois 60188. All rights reserved.","Colossians 3:15 (NLT)","And let the peace that comes from Christ rule in your hearts. For as members of one body you are called to live in peace. And always be thankful.","Let the peace that comes from Christ rule in your heart. For as a member of the body you are called to live in peace. And always be thankful.","And let the peace that comes from Christ rule in your hearts. For as members of one body you are called to live in peace. And always be thankful.","10/21\/22"
"From _Thou, Dear God: Prayers That Open Hearts and Spirits_, a collection of Dr. King's prayers edited by Lewis V. Baldwin","Dr. Martin Luther King, Jr.","","","O God, we thank you for the lives of great saints and prophets in the past, who have revealed to us that we can stand up amid the problems and difficulties and trials of life and not give in. We thank you for our foreparents, who've given us something in the midst of the darkness of exploitation and oppression to keep going. Grant that we will go on with the proper faith and the proper determination of will, so that we will be able to make a creative contribution to this world. In the name and spirit of Jesus we pray.",""
"Scripture quotations marked (NIrV) are taken from the Holy Bible, New International Reader’s Version®, NIrV® Copyright © 1995, 1996, 1998, 2014 by Biblica, Inc.™ Used by permission of Zondervan. All rights reserved worldwide. www.zondervan.com 
The “NIrV” and “New International Reader’s Version” are trademarks registered in the United States Patent and Trademark Office by Biblica, Inc.™","Ephesians 2:10 (NIrV)","We am Your creation. You created us to belong to Christ Jesus. Now we can do good works. Long ago You prepared these works for us to do.","I am Your creation. You created me to belong to Christ Jesus. Now I can do good works. Long ago You prepared these works for me to do.","We are God's creation. He created us to belong to Christ Jesus. Now we can do good works. Long ago God prepared these works for us to do.",""
"Scripture quotations marked (NLT) are taken from the Holy Bible, New Living Translation, copyright Â©1996, 2004, 2015 by Tyndale House Foundation. Used by permission of Tyndale House Publishers, Carol Stream, Illinois 60188. All rights reserved.","Psalm 29:11 (NLT)","","","The Lord gives his people strength.
The Lord blesses them with peace.",""
